Grapheme	IPA
fēng_	f ə ŋ ⁵⁵ +
féng_	f ə ŋ ³⁵ +
fěng_	f ə ŋ ²¹⁴ +
fèng_	f ə ŋ ⁵¹ +
fōu_	f ɔu ⁵⁵ +
fóu_	f ɔu ³⁵ +
fǒu_	f ɔu ²¹⁴ +
fòu_	f ɔu ⁵¹ +
fu_	f u ⁰ +
fū_	f u ⁵⁵ +
fú_	f u ³⁵ +
fǔ_	f u ²¹⁴ +
fù_	f u ⁵¹ +
gāi_	k ai ⁵⁵ +
gái_	k ai ³⁵ +
gǎi_	k ai ²¹⁴ +
gài_	k ai ⁵¹ +
gān_	k a n ⁵⁵ +
gán_	k a n ³⁵ +
gǎn_	k a n ²¹⁴ +
gàn_	k a n ⁵¹ +
gāng_	k a ŋ ⁵⁵ +
gáng_	k a ŋ ³⁵ +
gǎng_	k a ŋ ²¹⁴ +
gàng_	k a ŋ ⁵¹ +
gāo_	k au ⁵⁵ +
gáo_	k au ³⁵ +
gǎo_	k au ²¹⁴ +
gào_	k au ⁵¹ +
ge_	k ə ⁰ +
gē_	k ə ⁵⁵ +
gé_	k ə ³⁵ +
gě_	k ə ²¹⁴ +
gè_	k ə ⁵¹ +
gēi_	k əi ⁵⁵ +
géi_	k əi ³⁵ +
gěi_	k əi ²¹⁴ +
gèi_	k əi ⁵¹ +
gēn_	k ə n ⁵⁵ +
gén_	k ə n ³⁵ +
gěn_	k ə n ²¹⁴ +
gèn_	k ə n ⁵¹ +
gēng_	k ə ŋ ⁵⁵ +
géng_	k ə ŋ ³⁵ +
gěng_	k ə ŋ ²¹⁴ +
gèng_	k ə ŋ ⁵¹ +
gong_	k ʊ ŋ ⁰ +
gōng_	k ʊ ŋ ⁵⁵ +
góng_	k ʊ ŋ ³⁵ +
gǒng_	k ʊ ŋ ²¹⁴ +
gòng_	k ʊ ŋ ⁵¹ +
gōu_	k ɔu ⁵⁵ +
góu_	k ɔu ³⁵ +
gǒu_	k ɔu ²¹⁴ +
gòu_	k ɔu ⁵¹ +
gu_	k u ⁰ +
guā_	k w a ⁵⁵ +
guá_	k w a ³⁵ +
guǎ_	k w a ²¹⁴ +
guà_	k w a ⁵¹ +
guāi_	k w ai ⁵⁵ +
guái_	k w ai ³⁵ +
guǎi_	k w ai ²¹⁴ +
guài_	k w ai ⁵¹ +
guān_	k w a n ⁵⁵ +
guán_	k w a n ³⁵ +
guǎn_	k w a n ²¹⁴ +
guàn_	k w a n ⁵¹ +
guāng_	k w a ŋ ⁵⁵ +
guáng_	k w a ŋ ³⁵ +
guǎng_	k w a ŋ ²¹⁴ +
guàng_	k w a ŋ ⁵¹ +
guī_	k w əi ⁵⁵ +
guí_	k w əi ³⁵ +
guǐ_	k w əi ²¹⁴ +
guì_	k w əi ⁵¹ +
guō_	k w ɔ ⁵⁵ +
guó_	k w ɔ ³⁵ +
guǒ_	k w ɔ ²¹⁴ +
guò_	k w ɔ ⁵¹ +
gū_	k u ⁵⁵ +
gú_	k u ³⁵ +
gǔ_	k u ²¹⁴ +
gù_	k u ⁵¹ +
gūn_	k ʊ n ⁵⁵ +
gún_	k ʊ n ³⁵ +
gǔn_	k ʊ n ²¹⁴ +
gùn_	k ʊ n ⁵¹ +
hā_	x a ⁵⁵ +
há_	x a ³⁵ +
hǎ_	x a ²¹⁴ +
hà_	x a ⁵¹ +
hāi_	x ai ⁵⁵ +
hái_	x ai ³⁵ +
hǎi_	x ai ²¹⁴ +
hài_	x ai ⁵¹ +
hān_	x a n ⁵⁵ +
hán_	x a n ³⁵ +
hǎn_	x a n ²¹⁴ +
hàn_	x a n ⁵¹ +
hāng_	x a ŋ ⁵⁵ +
háng_	x a ŋ ³⁵ +
hǎng_	x a ŋ ²¹⁴ +
hàng_	x a ŋ ⁵¹ +
hāo_	x au ⁵⁵ +
háo_	x au ³⁵ +
hǎo_	x au ²¹⁴ +
hào_	x au ⁵¹ +
hē_	x ə ⁵⁵ +
hé_	x ə ³⁵ +
hě_	x ə ²¹⁴ +
hè_	x ə ⁵¹ +
hēi_	x əi ⁵⁵ +
héi_	x əi ³⁵ +
hěi_	x əi ²¹⁴ +
hèi_	x əi ⁵¹ +
hēn_	x ə n ⁵⁵ +
hén_	x ə n ³⁵ +
hěn_	x ə n ²¹⁴ +
hèn_	x ə n ⁵¹ +
hēng_	x ə ŋ ⁵⁵ +
héng_	x ə ŋ ³⁵ +
hěng_	x ə ŋ ²¹⁴ +
hèng_	x ə ŋ ⁵¹ +
hōng_	x ʊ ŋ ⁵⁵ +
hóng_	x ʊ ŋ ³⁵ +
hǒng_	x ʊ ŋ ²¹⁴ +
hòng_	x ʊ ŋ ⁵¹ +
hōu_	x ɔu ⁵⁵ +
hóu_	x ɔu ³⁵ +
hǒu_	x ɔu ²¹⁴ +
hòu_	x ɔu ⁵¹ +
hu_	x u ⁰ +
huā_	x w a ⁵⁵ +
huá_	x w a ³⁵ +
huǎ_	x w a ²¹⁴ +
huà_	x w a ⁵¹ +
huāi_	x w ai ⁵⁵ +
huái_	x w ai ³⁵ +
huǎi_	x w ai ²¹⁴ +
huài_	x w ai ⁵¹ +
huān_	x w a n ⁵⁵ +
huán_	x w a n ³⁵ +
huǎn_	x w a n ²¹⁴ +
huàn_	x w a n ⁵¹ +
huāng_	x w a ŋ ⁵⁵ +
huáng_	x w a ŋ ³⁵ +
huǎng_	x w a ŋ ²¹⁴ +
huàng_	x w a ŋ ⁵¹ +
huī_	x w əi ⁵⁵ +
huí_	x w əi ³⁵ +
huǐ_	x w əi ²¹⁴ +
huì_	x w əi ⁵¹ +
huō_	x w ɔ ⁵⁵ +
huó_	x w ɔ ³⁵ +
huǒ_	x w ɔ ²¹⁴ +
huò_	x w ɔ ⁵¹ +
hū_	x u ⁵⁵ +
hú_	x u ³⁵ +
hǔ_	x u ²¹⁴ +
hù_	x u ⁵¹ +
hūn_	x ʊ n ⁵⁵ +
hún_	x ʊ n ³⁵ +
hǔn_	x ʊ n ²¹⁴ +
hùn_	x ʊ n ⁵¹ +
jiā_	tɕ j a ⁵⁵ +
jiá_	tɕ j a ³⁵ +
jiǎ_	tɕ j a ²¹⁴ +
jià_	tɕ j a ⁵¹ +
jiān_	tɕ j ɛ n ⁵⁵ +
jián_	tɕ j ɛ n ³⁵ +
jiǎn_	tɕ j ɛ n ²¹⁴ +
jiàn_	tɕ j ɛ n ⁵¹ +
jiāng_	tɕ j a ŋ ⁵⁵ +
jiáng_	tɕ j a ŋ ³⁵ +
jiǎng_	tɕ j a ŋ ²¹⁴ +
jiàng_	tɕ j a ŋ ⁵¹ +
jiāo_	tɕ j au ⁵⁵ +
jiáo_	tɕ j au ³⁵ +
jiǎo_	tɕ j au ²¹⁴ +
jiào_	tɕ j au ⁵¹ +
jie_	tɕ j ə ⁰ +
jiē_	tɕ j ə ⁵⁵ +
jié_	tɕ j ə ³⁵ +
jiě_	tɕ j ə ²¹⁴ +
jiè_	tɕ j ə ⁵¹ +
jing_	tɕ i ŋ ⁰ +
jiū_	tɕ j ɔu ⁵⁵ +
jiú_	tɕ j ɔu ³⁵ +
jiǔ_	tɕ j ɔu ²¹⁴ +
jiù_	tɕ j ɔu ⁵¹ +
jī_	tɕ i ⁵⁵ +
