Grapheme	IPA
zhǒng_	ʈʂ ʊ ŋ ²¹⁴ +
zhòng_	ʈʂ ʊ ŋ ⁵¹ +
zhōu_	ʈʂ ɔu ⁵⁵ +
zhóu_	ʈʂ ɔu ³⁵ +
zhǒu_	ʈʂ ɔu ²¹⁴ +
zhòu_	ʈʂ ɔu ⁵¹ +
zhuā_	ʈʂ w a ⁵⁵ +
zhuá_	ʈʂ w a ³⁵ +
zhuǎ_	ʈʂ w a ²¹⁴ +
zhuà_	ʈʂ w a ⁵¹ +
zhuān_	ʈʂ w a n ⁵⁵ +
zhuán_	ʈʂ w a n ³⁵ +
zhuǎn_	ʈʂ w a n ²¹⁴ +
zhuàn_	ʈʂ w a n ⁵¹ +
zhuāng_	ʈʂ w a ŋ ⁵⁵ +
zhuáng_	ʈʂ w a ŋ ³⁵ +
zhuǎng_	ʈʂ w a ŋ ²¹⁴ +
zhuàng_	ʈʂ w a ŋ ⁵¹ +
zhuī_	ʈʂ w əi ⁵⁵ +
zhuí_	ʈʂ w əi ³⁵ +
zhuǐ_	ʈʂ w əi ²¹⁴ +
zhuì_	ʈʂ w əi ⁵¹ +
zhuō_	ʈʂ w ɔ ⁵⁵ +
zhuó_	ʈʂ w ɔ ³⁵ +
zhuǒ_	ʈʂ w ɔ ²¹⁴ +
zhuò_	ʈʂ w ɔ ⁵¹ +
zhū_	ʈʂ u ⁵⁵ +
zhú_	ʈʂ u ³⁵ +
zhǔ_	ʈʂ u ²¹⁴ +
zhù_	ʈʂ u ⁵¹ +
zhūn_	ʈʂ ʊ n ⁵⁵ +
zhún_	ʈʂ ʊ n ³⁵ +
zhǔn_	ʈʂ ʊ n ²¹⁴ +
zhùn_	ʈʂ ʊ n ⁵¹ +
zi_	ts ɿ ⁰ +
zī_	ts ɿ ⁵⁵ +
zí_	ts ɿ ³⁵ +
zǐ_	ts ɿ ²¹⁴ +
zì_	ts ɿ ⁵¹ +
zōng_	ts ʊ ŋ ⁵⁵ +
zóng_	ts ʊ ŋ ³⁵ +
zǒng_	ts ʊ ŋ ²¹⁴ +
zòng_	ts ʊ ŋ ⁵¹ +
zōu_	ts ɔu ⁵⁵ +
zóu_	ts ɔu ³⁵ +
zǒu_	ts ɔu ²¹⁴ +
zòu_	ts ɔu ⁵¹ +
zuān_	ts w a n ⁵⁵ +
zuán_	ts w a n ³⁵ +
zuǎn_	ts w a n ²¹⁴ +
zuàn_	ts w a n ⁵¹ +
zuī_	ts w əi ⁵⁵ +
zuí_	ts w əi ³⁵ +
zuǐ_	ts w əi ²¹⁴ +
zuì_	ts w əi ⁵¹ +
zuō_	ts w ɔ ⁵⁵ +
zuó_	ts w ɔ ³⁵ +
zuǒ_	ts w ɔ ²¹⁴ +
zuò_	ts w ɔ ⁵¹ +
zū_	ts u ⁵⁵ +
zú_	ts u ³⁵ +
zǔ_	ts u ²¹⁴ +
zù_	ts u ⁵¹ +
āi	ai ⁵⁵ +
ái	ai ³⁵ +
ǎi	ai ²¹⁴ +
ài	ai ⁵¹ +
ān	a n ⁵⁵ +
án	a n ³⁵ +
ǎn	a n ²¹⁴ +
àn	a n ⁵¹ +
āng	a ŋ ⁵⁵ +
áng	a ŋ ³⁵ +
ǎng	a ŋ ²¹⁴ +
àng	a ŋ ⁵¹ +
āo	au ⁵⁵ +
áo	au ³⁵ +
ǎo	au ²¹⁴ +
ào	au ⁵¹ +
ba	p a ⁰ +
bā	p a ⁵⁵ +
bá	p a ³⁵ +
bǎ	p a ²¹⁴ +
bà	p a ⁵¹ +
bāi	p ai ⁵⁵ +
bái	p ai ³⁵ +
bǎi	p ai ²¹⁴ +
bài	p ai ⁵¹ +
bān	p a n ⁵⁵ +
bán	p a n ³⁵ +
bǎn	p a n ²¹⁴ +
bàn	p a n ⁵¹ +
bāng	p a ŋ ⁵⁵ +
báng	p a ŋ ³⁵ +
bǎng	p a ŋ ²¹⁴ +
bàng	p a ŋ ⁵¹ +
bāo	p au ⁵⁵ +
báo	p au ³⁵ +
bǎo	p au ²¹⁴ +
bào	p au ⁵¹ +
bēi	p ei ⁵⁵ +
béi	p ei ³⁵ +
běi	p ei ²¹⁴ +
bèi	p ei ⁵¹ +
bēn	p e n ⁵⁵ +
bén	p e n ³⁵ +
běn	p e n ²¹⁴ +
bèn	p e n ⁵¹ +
biān	p j ɛ n ⁵⁵ +
bián	p j ɛ n ³⁵ +
biǎn	p j ɛ n ²¹⁴ +
biàn	p j ɛ n ⁵¹ +
biāo	p j au ⁵⁵ +
biáo	p j au ³⁵ +
biǎo	p j au ²¹⁴ +
biào	p j au ⁵¹ +
biē	p j ɛ ⁵⁵ +
bié	p j ɛ ³⁵ +
biě	p j ɛ ²¹⁴ +
biè	p j ɛ ⁵¹ +
bī	p i ⁵⁵ +
bí	p i ³⁵ +
bǐ	p i ²¹⁴ +
bì	p i ⁵¹ +
bīn	p i n ⁵⁵ +
bín	p i n ³⁵ +
bǐn	p i n ²¹⁴ +
bìn	p i n ⁵¹ +
bīng	p i ŋ ⁵⁵ +
bíng	p i ŋ ³⁵ +
bǐng	p i ŋ ²¹⁴ +
bìng	p i ŋ ⁵¹ +
bo	p w o ⁰ +
bō	p w o ⁵⁵ +
bó	p w o ³⁵ +
bǒ	p w o ²¹⁴ +
bò	p w o ⁵¹ +
bū	p u ⁵⁵ +
bú	p u ³⁵ +
bǔ	p u ²¹⁴ +
bù	p u ⁵¹ +
cā	tsʰ a ⁵⁵ +
cá	tsʰ a ³⁵ +
cǎ	tsʰ a ²¹⁴ +
cà	tsʰ a ⁵¹ +
cāi	tsʰ ai ⁵⁵ +
cái	tsʰ ai ³⁵ +
cǎi	tsʰ ai ²¹⁴ +
cài	tsʰ ai ⁵¹ +
cān	tsʰ a n ⁵⁵ +
cán	tsʰ a n ³⁵ +
cǎn	tsʰ a n ²¹⁴ +
càn	tsʰ a n ⁵¹ +
cāng	tsʰ a ŋ ⁵⁵ +
cáng	tsʰ a ŋ ³⁵ +
cǎng	tsʰ a ŋ ²¹⁴ +
càng	tsʰ a ŋ ⁵¹ +
cāo	tsʰ au ⁵⁵ +
cáo	tsʰ au ³⁵ +
cǎo	tsʰ au ²¹⁴ +
cào	tsʰ au ⁵¹ +
cē	tsʰ ə ⁵⁵ +
cé	tsʰ ə ³⁵ +
cě	tsʰ ə ²¹⁴ +
cè	tsʰ ə ⁵¹ +
chā	ʈʂʰ a ⁵⁵ +
chá	ʈʂʰ a ³⁵ +
chǎ	ʈʂʰ a ²¹⁴ +
chà	ʈʂʰ a ⁵¹ +
chāi	ʈʂʰ ai ⁵⁵ +
chái	ʈʂʰ ai ³⁵ +
chǎi	ʈʂʰ ai ²¹⁴ +
chài	ʈʂʰ ai ⁵¹ +
chān	ʈʂʰ a n ⁵⁵ +
chán	ʈʂʰ a n ³⁵ +
chǎn	ʈʂʰ a n ²¹⁴ +
chàn	ʈʂʰ a n ⁵¹ +
chāng	ʈʂ a ŋ ⁵⁵ +
cháng	ʈʂ a ŋ ³⁵ +
chǎng	ʈʂ a ŋ ²¹⁴ +
chàng	ʈʂ a ŋ ⁵¹ +
chāo	ʈʂ au ⁵⁵ +
cháo	ʈʂ au ³⁵ +
chǎo	ʈʂ au ²¹⁴ +
chào	ʈʂ au ⁵¹ +
chen	ʈʂ ə n ⁰ +
chē	ʈʂ ə ⁵⁵ +
ché	ʈʂ ə ³⁵ +
chě	ʈʂ ə ²¹⁴ +
chè	ʈʂ ə ⁵¹ +
chēn	ʈʂ ə n ⁵⁵ +
chén	ʈʂ ə n ³⁵ +
chěn	ʈʂ ə n ²¹⁴ +
chèn	ʈʂ ə n ⁵¹ +
chēng	ʈʂ ə ŋ ⁵⁵ +
chéng	ʈʂ ə ŋ ³⁵ +
chěng	ʈʂ ə ŋ ²¹⁴ +
chèng	ʈʂ ə ŋ ⁵¹ +
chī	ʈʂ ʅ ⁵⁵ +
chí	ʈʂ ʅ ³⁵ +
chǐ	ʈʂ ʅ ²¹⁴ +
chì	ʈʂ ʅ ⁵¹ +
chōng	ʈʂ ʊ ŋ ⁵⁵ +
chóng	ʈʂ ʊ ŋ ³⁵ +
chǒng	ʈʂ ʊ ŋ ²¹⁴ +
chòng	ʈʂ ʊ ŋ ⁵¹ +
chōu	ʈʂ ɔu ⁵⁵ +
chóu	ʈʂ ɔu ³⁵ +
chǒu	ʈʂ ɔu ²¹⁴ +
chòu	ʈʂ ɔu ⁵¹ +
chu	ʈʂ u ⁰ +
chuān	ʈʂ w a n ⁵⁵ +
chuán	ʈʂ w a n ³⁵ +
chuǎn	ʈʂ w a n ²¹⁴ +
chuàn	ʈʂ w a n ⁵¹ +
chuāng	ʈʂ w a ŋ ⁵⁵ +
chuáng	ʈʂ w a ŋ ³⁵ +
chuǎng	ʈʂ w a ŋ ²¹⁴ +
chuàng	ʈʂ w a ŋ ⁵¹ +
chuī	ʈʂ w əi ⁵⁵ +
chuí	ʈʂ w əi ³⁵ +
chuǐ	ʈʂ w əi ²¹⁴ +
chuì	ʈʂ w əi ⁵¹ +
chū	ʈʂ u ⁵⁵ +
chú	ʈʂ u ³⁵ +
chǔ	ʈʂ u ²¹⁴ +
chù	ʈʂ u ⁵¹ +
chūn	ʈʂ u n ⁵⁵ +
chún	ʈʂ u n ³⁵ +
chǔn	ʈʂ u n ²¹⁴ +
chùn	ʈʂ u n ⁵¹ +
cī	tsʰ ɿ ⁵⁵ +
cí	tsʰ ɿ ³⁵ +
cǐ	tsʰ ɿ ²¹⁴ +
cì	tsʰ ɿ ⁵¹ +
cōng	tsʰ ʊ ŋ ⁵⁵ +
cóng	tsʰ ʊ ŋ ³⁵ +
cǒng	tsʰ ʊ ŋ ²¹⁴ +
còng	tsʰ ʊ ŋ ⁵¹ +
cuō	tsʰ w ɔ ⁵⁵ +
cuó	tsʰ w ɔ ³⁵ +
cuǒ	tsʰ w ɔ ²¹⁴ +
cuò	tsʰ w ɔ ⁵¹ +
cū	tsʰ u ⁵⁵ +
cú	tsʰ u ³⁵ +
cǔ	tsʰ u ²¹⁴ +
cù	tsʰ u ⁵¹ +
cūn	tsʰ u n ⁵⁵ +
cún	tsʰ u n ³⁵ +
cǔn	tsʰ u n ²¹⁴ +
cùn	tsʰ u n ⁵¹ +
dā	t a ⁵⁵ +
dá	t a ³⁵ +
dǎ	t a ²¹⁴ +
dà	t a ⁵¹ +
dāi	t ai ⁵⁵ +
dái	t ai ³⁵ +
dǎi	t ai ²¹⁴ +
dài	t ai ⁵¹ +
dān	t a n ⁵⁵ +
dán	t a n ³⁵ +
dǎn	t a n ²¹⁴ +
dàn	t a n ⁵¹ +
dāo	t au ⁵⁵ +
dáo	t au ³⁵ +
dǎo	t au ²¹⁴ +
dào	t au ⁵¹ +
de	t ə ⁰ +
dē	t ə ⁵⁵ +
dé	t ə ³⁵ +
dě	t ə ²¹⁴ +
dè	t ə ⁵¹ +
dēng	t ə ŋ ⁵⁵ +
déng	t ə ŋ ³⁵ +
děng	t ə ŋ ²¹⁴ +
dèng	t ə ŋ ⁵¹ +
di	t i ⁰ +
diān	t j ɛ n ⁵⁵ +
dián	t j ɛ n ³⁵ +
diǎn	t j ɛ n ²¹⁴ +
diàn	t j ɛ n ⁵¹ +
diāo	t j au ⁵⁵ +
diáo	t j au ³⁵ +
diǎo	t j au ²¹⁴ +
diào	t j au ⁵¹ +
diē	t j ə ⁵⁵ +
dié	t j ə ³⁵ +
diě	t j ə ²¹⁴ +
diè	t j ə ⁵¹ +
dī	t i ⁵⁵ +
dí	t i ³⁵ +
dǐ	t i ²¹⁴ +
dì	t i ⁵¹ +
dīng	t i ŋ ⁵⁵ +
díng	t i ŋ ³⁵ +
dǐng	t i ŋ ²¹⁴ +
dìng	t i ŋ ⁵¹ +
dōng	t ʊ ŋ ⁵⁵ +
dóng	t ʊ ŋ ³⁵ +
dǒng	t ʊ ŋ ²¹⁴ +
dòng	t ʊ ŋ ⁵¹ +
dōu	t ɔu ⁵⁵ +
dóu	t ɔu ³⁵ +
dǒu	t ɔu ²¹⁴ +
dòu	t ɔu ⁵¹ +
duān	t w a n ⁵⁵ +
duán	t w a n ³⁵ +
duǎn	t w a n ²¹⁴ +
duàn	t w a n ⁵¹ +
duī	t w əi ⁵⁵ +
duí	t w əi ³⁵ +
duǐ	t w əi ²¹⁴ +
duì	t w əi ⁵¹ +
duo	t w ɔ ⁰ +
duō	t w ɔ ⁵⁵ +
duó	t w ɔ ³⁵ +
duǒ	t w ɔ ²¹⁴ +
duò	t w ɔ ⁵¹ +
dū	t u ⁵⁵ +
dú	t u ³⁵ +
dǔ	t u ²¹⁴ +
dù	t u ⁵¹ +
dūn	t ʊ n ⁵⁵ +
dún	t ʊ n ³⁵ +
dǔn	t ʊ n ²¹⁴ +
dùn	t ʊ n ⁵¹ +
e	ə ⁰ +
ē	ə ⁵⁵ +
é	ə ³⁵ +
ě	ə ²¹⁴ +
è	ə ⁵¹ +
ēr	ɚ ⁵⁵ +
ér	ɚ ³⁵ +
ěr	ɚ ²¹⁴ +
èr	ɚ ⁵¹ +
fa	f a ⁰ +
fā	f a ⁵⁵ +
fá	f a ³⁵ +
fǎ	f a ²¹⁴ +
fà	f a ⁵¹ +
fān	f a n ⁵⁵ +
fán	f a n ³⁵ +
fǎn	f a n ²¹⁴ +
fàn	f a n ⁵¹ +
fāng	f a ŋ ⁵⁵ +
fáng	f a ŋ ³⁵ +
fǎng	f a ŋ ²¹⁴ +
fàng	f a ŋ ⁵¹ +
fen	f ə n ⁰ +
feng	f ə ŋ ⁰ +
fēi	f əi ⁵⁵ +
féi	f əi ³⁵ +
fěi	f əi ²¹⁴ +
fèi	f əi ⁵¹ +
fēn	f ə n ⁵⁵ +
fén	f ə n ³⁵ +
fěn	f ə n ²¹⁴ +
fèn	f ə n ⁵¹ +
fēng	f ə ŋ ⁵⁵ +
féng	f ə ŋ ³⁵ +
fěng	f ə ŋ ²¹⁴ +
fèng	f ə ŋ ⁵¹ +
fōu	f ɔu ⁵⁵ +
fóu	f ɔu ³⁵ +
fǒu	f ɔu ²¹⁴ +
fòu	f ɔu ⁵¹ +
fu	f u ⁰ +
fū	f u ⁵⁵ +
fú	f u ³⁵ +
fǔ	f u ²¹⁴ +
fù	f u ⁵¹ +
gāi	k ai ⁵⁵ +
gái	k ai ³⁵ +
gǎi	k ai ²¹⁴ +
gài	k ai ⁵¹ +
gān	k a n ⁵⁵ +
gán	k a n ³⁵ +
gǎn	k a n ²¹⁴ +
gàn	k a n ⁵¹ +
gāng	k a ŋ ⁵⁵ +
gáng	k a ŋ ³⁵ +
gǎng	k a ŋ ²¹⁴ +
gàng	k a ŋ ⁵¹ +
gāo	k au ⁵⁵ +
gáo	k au ³⁵ +
gǎo	k au ²¹⁴ +
gào	k au ⁵¹ +
ge	k ə ⁰ +
gē	k ə ⁵⁵ +
gé	k ə ³⁵ +
gě	k ə ²¹⁴ +
gè	k ə ⁵¹ +
gēi	k əi ⁵⁵ +
géi	k əi ³⁵ +
gěi	k əi ²¹⁴ +
gèi	k əi ⁵¹ +
gēn	k ə n ⁵⁵ +
gén	k ə n ³⁵ +
gěn	k ə n ²¹⁴ +
gèn	k ə n ⁵¹ +
gēng	k ə ŋ ⁵⁵ +
géng	k ə ŋ ³⁵ +
gěng	k ə ŋ ²¹⁴ +
gèng	k ə ŋ ⁵¹ +
gong	k ʊ ŋ ⁰ +
gōng	k ʊ ŋ ⁵⁵ +
góng	k ʊ ŋ ³⁵ +
gǒng	k ʊ ŋ ²¹⁴ +
gòng	k ʊ ŋ ⁵¹ +
gōu	k ɔu ⁵⁵ +
góu	k ɔu ³⁵ +
gǒu	k ɔu ²¹⁴ +
gòu	k ɔu ⁵¹ +
gu	k u ⁰ +
guā	k w a ⁵⁵ +
guá	k w a ³⁵ +
guǎ	k w a ²¹⁴ +
guà	k w a ⁵¹ +
guāi	k w ai ⁵⁵ +
guái	k w ai ³⁵ +
guǎi	k w ai ²¹⁴ +
guài	k w ai ⁵¹ +
guān	k w a n ⁵⁵ +
guán	k w a n ³⁵ +
guǎn	k w a n ²¹⁴ +
guàn	k w a n ⁵¹ +
guāng	k w a ŋ ⁵⁵ +
guáng	k w a ŋ ³⁵ +
guǎng	k w a ŋ ²¹⁴ +
guàng	k w a ŋ ⁵¹ +
guī	k w əi ⁵⁵ +
guí	k w əi ³⁵ +
guǐ	k w əi ²¹⁴ +
guì	k w əi ⁵¹ +
guō	k w ɔ ⁵⁵ +
guó	k w ɔ ³⁵ +
guǒ	k w ɔ ²¹⁴ +
guò	k w ɔ ⁵¹ +
gū	k u ⁵⁵ +
gú	k u ³⁵ +
gǔ	k u ²¹⁴ +
gù	k u ⁵¹ +
gūn	k ʊ n ⁵⁵ +
gún	k ʊ n ³⁵ +
gǔn	k ʊ n ²¹⁴ +
gùn	k ʊ n ⁵¹ +
hā	x a ⁵⁵ +
há	x a ³⁵ +
hǎ	x a ²¹⁴ +
hà	x a ⁵¹ +
hāi	x ai ⁵⁵ +
hái	x ai ³⁵ +
hǎi	x ai ²¹⁴ +
hài	x ai ⁵¹ +
hān	x a n ⁵⁵ +
hán	x a n ³⁵ +
hǎn	x a n ²¹⁴ +
hàn	x a n ⁵¹ +
hāng	x a ŋ ⁵⁵ +
háng	x a ŋ ³⁵ +
hǎng	x a ŋ ²¹⁴ +
hàng	x a ŋ ⁵¹ +
hāo	x au ⁵⁵ +
háo	x au ³⁵ +
hǎo	x au ²¹⁴ +
hào	x au ⁵¹ +
hē	x ə ⁵⁵ +
hé	x ə ³⁵ +
hě	x ə ²¹⁴ +
hè	x ə ⁵¹ +
hēi	x əi ⁵⁵ +
héi	x əi ³⁵ +
hěi	x əi ²¹⁴ +
hèi	x əi ⁵¹ +
hēn	x ə n ⁵⁵ +
hén	x ə n ³⁵ +
hěn	x ə n ²¹⁴ +
hèn	x ə n ⁵¹ +
hēng	x ə ŋ ⁵⁵ +
héng	x ə ŋ ³⁵ +
hěng	x ə ŋ ²¹⁴ +
hèng	x ə ŋ ⁵¹ +
hōng	x ʊ ŋ ⁵⁵ +
hóng	x ʊ ŋ ³⁵ +
hǒng	x ʊ ŋ ²¹⁴ +
hòng	x ʊ ŋ ⁵¹ +
hōu	x ɔu ⁵⁵ +
hóu	x ɔu ³⁵ +
hǒu	x ɔu ²¹⁴ +
hòu	x ɔu ⁵¹ +
hu	x u ⁰ +
huā	x w a ⁵⁵ +
huá	x w a ³⁵ +
huǎ	x w a ²¹⁴ +
huà	x w a ⁵¹ +
huāi	x w ai ⁵⁵ +
huái	x w ai ³⁵ +
huǎi	x w ai ²¹⁴ +
huài	x w ai ⁵¹ +
huān	x w a n ⁵⁵ +
huán	x w a n ³⁵ +
huǎn	x w a n ²¹⁴ +
huàn	x w a n ⁵¹ +
huāng	x w a ŋ ⁵⁵ +
huáng	x w a ŋ ³⁵ +
huǎng	x w a ŋ ²¹⁴ +
huàng	x w a ŋ ⁵¹ +
huī	x w əi ⁵⁵ +
huí	x w əi ³⁵ +
huǐ	x w əi ²¹⁴ +
huì	x w əi ⁵¹ +
huō	x w ɔ ⁵⁵ +
huó	x w ɔ ³⁵ +
huǒ	x w ɔ ²¹⁴ +
huò	x w ɔ ⁵¹ +
hū	x u ⁵⁵ +
hú	x u ³⁵ +
hǔ	x u ²¹⁴ +
hù	x u ⁵¹ +
hūn	x ʊ n ⁵⁵ +
hún	x ʊ n ³⁵ +
hǔn	x ʊ n ²¹⁴ +
hùn	x ʊ n ⁵¹ +
jiā	tɕ j a ⁵⁵ +
jiá	tɕ j a ³⁵ +
jiǎ	tɕ j a ²¹⁴ +
jià	tɕ j a ⁵¹ +
jiān	tɕ j ɛ n ⁵⁵ +
jián	tɕ j ɛ n ³⁵ +
jiǎn	tɕ j ɛ n ²¹⁴ +
jiàn	tɕ j ɛ n ⁵¹ +
jiāng	tɕ j a ŋ ⁵⁵ +
jiáng	tɕ j a ŋ ³⁵ +
jiǎng	tɕ j a ŋ ²¹⁴ +
jiàng	tɕ j a ŋ ⁵¹ +
jiāo	tɕ j au ⁵⁵ +
jiáo	tɕ j au ³⁵ +
jiǎo	tɕ j au ²¹⁴ +
jiào	tɕ j au ⁵¹ +
jie	tɕ j ə ⁰ +
jiē	tɕ j ə ⁵⁵ +
jié	tɕ j ə ³⁵ +
jiě	tɕ j ə ²¹⁴ +
jiè	tɕ j ə ⁵¹ +
jing	tɕ i ŋ ⁰ +
jiū	tɕ j ɔu ⁵⁵ +
jiú	tɕ j ɔu ³⁵ +
jiǔ	tɕ j ɔu ²¹⁴ +
jiù	tɕ j ɔu ⁵¹ +
jī	tɕ i ⁵⁵ +
jí	tɕ i ³⁵ +
jǐ	tɕ i ²¹⁴ +
jì	tɕ i ⁵¹ +
jīn	tɕ i n ⁵⁵ +
jín	tɕ i n ³⁵ +
jǐn	tɕ i n ²¹⁴ +
jìn	tɕ i n ⁵¹ +
jīng	tɕ i ŋ ⁵⁵ +
jíng	tɕ i ŋ ³⁵ +
jǐng	tɕ i ŋ ²¹⁴ +
jìng	tɕ i ŋ ⁵¹ +
jīnɡ	tɕ i ŋ ⁵⁵ +
jínɡ	tɕ i ŋ ³⁵ +
jǐnɡ	tɕ i ŋ ²¹⁴ +
jìnɡ	tɕ i ŋ ⁵¹ +
juē	tɕ ɥ ə ⁵⁵ +
jué	tɕ ɥ ə ³⁵ +
juě	tɕ ɥ ə ²¹⁴ +
juè	tɕ ɥ ə ⁵¹ +
jū	tɕ y ⁵⁵ +
jú	tɕ y ³⁵ +
jǔ	tɕ y ²¹⁴ +
jù	tɕ y ⁵¹ +
jūn	tɕ y n ⁵⁵ +
jún	tɕ y n ³⁵ +
jǔn	tɕ y n ²¹⁴ +
jùn	tɕ y n ⁵¹ +
kāi	kʰ ai ⁵⁵ +
kái	kʰ ai ³⁵ +
kǎi	kʰ ai ²¹⁴ +
kài	kʰ ai ⁵¹ +
kān	kʰ a n ⁵⁵ +
kán	kʰ a n ³⁵ +
kǎn	kʰ a n ²¹⁴ +
kàn	kʰ a n ⁵¹ +
kāng	kʰ a ŋ ⁵⁵ +
káng	kʰ a ŋ ³⁵ +
kǎng	kʰ a ŋ ²¹⁴ +
kàng	kʰ a ŋ ⁵¹ +
kāo	kʰ au ⁵⁵ +
káo	kʰ au ³⁵ +
kǎo	kʰ au ²¹⁴ +
kào	kʰ au ⁵¹ +
kē	kʰ ə ⁵⁵ +
ké	kʰ ə ³⁵ +
kě	kʰ ə ²¹⁴ +
kè	kʰ ə ⁵¹ +
kōng	kʰ ʊ ŋ ⁵⁵ +
kóng	kʰ ʊ ŋ ³⁵ +
kǒng	kʰ ʊ ŋ ²¹⁴ +
kòng	kʰ ʊ ŋ ⁵¹ +
kōu	kʰ ɔu ⁵⁵ +
kóu	kʰ ɔu ³⁵ +
kǒu	kʰ ɔu ²¹⁴ +
kòu	kʰ ɔu ⁵¹ +
kuā	kʰ w a ⁵⁵ +
kuá	kʰ w a ³⁵ +
kuǎ	kʰ w a ²¹⁴ +
kuà	kʰ w a ⁵¹ +
kuāi	kʰ w ai ⁵⁵ +
kuái	kʰ w ai ³⁵ +
kuǎi	kʰ w ai ²¹⁴ +
kuài	kʰ w ai ⁵¹ +
kuān	kʰ w a n ⁵⁵ +
kuán	kʰ w a n ³⁵ +
kuǎn	kʰ w a n ²¹⁴ +
kuàn	kʰ w a n ⁵¹ +
kuāng	kʰ w a ŋ ⁵⁵ +
kuáng	kʰ w a ŋ ³⁵ +
kuǎng	kʰ w a ŋ ²¹⁴ +
kuàng	kʰ w a ŋ ⁵¹ +
kuī	kʰ w əi ⁵⁵ +
kuí	kʰ w əi ³⁵ +
kuǐ	kʰ w əi ²¹⁴ +
kuì	kʰ w əi ⁵¹ +
kū	kʰ u ⁵⁵ +
kú	kʰ u ³⁵ +
kǔ	kʰ u ²¹⁴ +
kù	kʰ u ⁵¹ +
kūn	kʰ ʊ n ⁵⁵ +
kún	kʰ ʊ n ³⁵ +
kǔn	kʰ ʊ n ²¹⁴ +
kùn	kʰ ʊ n ⁵¹ +
lā	l a ⁵⁵ +
lá	l a ³⁵ +
lǎ	l a ²¹⁴ +
là	l a ⁵¹ +
lāi	l ai ⁵⁵ +
lái	l ai ³⁵ +
lǎi	l ai ²¹⁴ +
lài	l ai ⁵¹ +
lān	l a n ⁵⁵ +
lán	l a n ³⁵ +
lǎn	l a n ²¹⁴ +
làn	l a n ⁵¹ +
lāng	l a ŋ ⁵⁵ +
láng	l a ŋ ³⁵ +
lǎng	l a ŋ ²¹⁴ +
làng	l a ŋ ⁵¹ +
lāo	l au ⁵⁵ +
láo	l au ³⁵ +
lǎo	l au ²¹⁴ +
lào	l au ⁵¹ +
lē	l ə ⁵⁵ +
lé	l ə ³⁵ +
lě	l ə ²¹⁴ +
lè	l ə ⁵¹ +
lēi	l əi ⁵⁵ +
léi	l əi ³⁵ +
lěi	l əi ²¹⁴ +
lèi	l əi ⁵¹ +
lēng	l ə ŋ ⁵⁵ +
léng	l ə ŋ ³⁵ +
lěng	l ə ŋ ²¹⁴ +
lèng	l ə ŋ ⁵¹ +
li	l i ⁰ +
liān	l j ɛ n ⁵⁵ +
lián	l j ɛ n ³⁵ +
liǎn	l j ɛ n ²¹⁴ +
liàn	l j ɛ n ⁵¹ +
liāng	l j a ŋ ⁵⁵ +
liáng	l j a ŋ ³⁵ +
liǎng	l j a ŋ ²¹⁴ +
liàng	l j a ŋ ⁵¹ +
liāo	l j au ⁵⁵ +
liáo	l j au ³⁵ +
liǎo	l j au ²¹⁴ +
liào	l j au ⁵¹ +
liē	l j ə ⁵⁵ +
lié	l j ə ³⁵ +
liě	l j ə ²¹⁴ +
liè	l j ə ⁵¹ +
liū	l j ɔu ⁵⁵ +
liú	l j ɔu ³⁵ +
liǔ	l j ɔu ²¹⁴ +
liù	l j ɔu ⁵¹ +
lī	l i ⁵⁵ +
lí	l i ³⁵ +
lǐ	l i ²¹⁴ +
lì	l i ⁵¹ +
līn	l i n ⁵⁵ +
lín	l i n ³⁵ +
lǐn	l i n ²¹⁴ +
lìn	l i n ⁵¹ +
līng	l i ŋ ⁵⁵ +
líng	l i ŋ ³⁵ +
lǐng	l i ŋ ²¹⁴ +
lìng	l i ŋ ⁵¹ +
lōng	l ʊ ŋ ⁵⁵ +
lóng	l ʊ ŋ ³⁵ +
lǒng	l ʊ ŋ ²¹⁴ +
lòng	l ʊ ŋ ⁵¹ +
lōu	l ɔu ⁵⁵ +
lóu	l ɔu ³⁵ +
lǒu	l ɔu ²¹⁴ +
lòu	l ɔu ⁵¹ +
lu	l u ⁰ +
luān	l w a n ⁵⁵ +
luán	l w a n ³⁵ +
luǎn	l w a n ²¹⁴ +
luàn	l w a n ⁵¹ +
luō	l w ɔ ⁵⁵ +
luó	l w ɔ ³⁵ +
luǒ	l w ɔ ²¹⁴ +
luò	l w ɔ ⁵¹ +
lū	l u ⁵⁵ +
lú	l u ³⁵ +
lǔ	l u ²¹⁴ +
lù	l u ⁵¹ +
lūn	l ʊ n ⁵⁵ +
lún	l ʊ n ³⁵ +
lǔn	l ʊ n ²¹⁴ +
lùn	l ʊ n ⁵¹ +
mao	m au ⁰ +
mā	m a ⁵⁵ +
má	m a ³⁵ +
mǎ	m a ²¹⁴ +
mà	m a ⁵¹ +
māi	m ai ⁵⁵ +
mái	m ai ³⁵ +
mǎi	m ai ²¹⁴ +
mài	m ai ⁵¹ +
mān	m a n ⁵⁵ +
mán	m a n ³⁵ +
mǎn	m a n ²¹⁴ +
màn	m a n ⁵¹ +
māng	m a ŋ ⁵⁵ +
máng	m a ŋ ³⁵ +
mǎng	m a ŋ ²¹⁴ +
màng	m a ŋ ⁵¹ +
māo	m au ⁵⁵ +
máo	m au ³⁵ +
mǎo	m au ²¹⁴ +
mào	m au ⁵¹ +
